[[0, 1, 1], [0, 2, 0]], -1.466905e+02, nan, 3.168585e+00, ['20260130_1541']
[[0, 2, 2], [0, 2, 0]], -8.608038e+01, nan, 3.257041e+00, ['20260130_1541']
[[0, 3, 0], [0, 2, 0]], 1.022990e+01, 8.331319e-01, 1.036470e+00, ['20260130_1541']
[[0, 3, 2], [0, 2, 0]], -1.357951e+02, nan, 3.201460e+00, ['20260130_1541']
[[0, 3, 1], [0, 2, 0]], -6.367267e+01, 1.141968e+00, 2.138438e+00, ['20260130_1541']
[[0, 3, -1], [0, 2, 0]], -2.166874e+00, 2.520466e-01, -9.713563e-02, ['20260130_1541']
[[0, 4, 1], [0, 2, 0]], -2.895323e+01, 3.501673e-01, -1.988139e-01, ['20260130_2136', '20260130_2332']
[[0, 4, 0], [0, 2, 0]], 1.551916e+01, 8.404592e-01, -1.386946e+00, ['20260131_0027']
[[0, 4, -1], [0, 2, 0]], 1.210658e+01, 1.650227e+00, -2.466380e+00, ['20260131_0027']
[[0, 4, -2], [0, 2, 0]], 1.484915e+01, 1.872009e+00, -3.420249e+00, ['20260131_0851']
[[-2, 3, -2], [-2, 3, -1]], 1.199065e+00, 1.019219e+00, -1.173635e+00, ['20260131_0851']
[[-2, 3, -3], [-2, 3, -1]], 6.133467e+01, 1.119377e+00, -2.428037e+00, ['20260131_0851']
[[1, 3, 3], [1, 3, 2]], 1.156847e+01, 1.499161e+00, 9.952554e-01, ['20260131_0851']
[[-1, 4, -3], [-1, 4, -2]], 1.425484e+01, 1.551784e+00, -7.805218e-01, ['20260131_1234']
[[-2, 4, -4], [-2, 3, -3]], 4.025674e+00, 1.478757e+00, -1.678136e+00, ['20260131_1234']
[[1, 4, 2], [1, 4, 1]], -1.000024e+01, 8.533632e-01, 1.295626e+00, ['20260131_1414']
[[2, 4, 3], [2, 4, 2]], -5.152821e+01, 8.123250e-01, 1.424023e+00, ['20260131_1414']
[[2, 4, 4], [2, 4, 3]], 9.383354e+00, 1.227791e+00, 1.678277e+00, ['20260131_1414']
[[-2, 2, -2], [-2, 3, -3]], 4.248308e+00, 1.124040e+00, -3.517105e-01, ['20260131_1744']
[[-2, 2, -1], [-2, 3, -2]], -4.018410e+00, 3.911055e-01, -2.472979e-01, ['20260131_1744']
[[2, 2, 1], [2, 4, 2]], -1.740575e+01, 6.261201e-01, 5.073800e-01, ['20260131_1946']
[[1, 3, 2], [1, 2, 2]], 5.862464e+01, 1.536545e+00, -5.558168e-02, ['20260131_1946']
[[-2, 1, -1], [-2, 3, -3]], -1.411147e+01, 1.325589e+00, -1.224296e-01, ['20260131_1946']
[[-2, 1, 0], [-2, 3, -1]], 4.520902e+01, 1.448628e+00, 4.392192e-01, ['20260131_1946']
