# B0 B0_err (mG)
3.347956330551059012e-01 9.902121198626337873e-04
# f_Hz A A_err phi phi_err
    60.000 3.201892593913042151e-01 1.399792623474441092e-03 -2.397486351290330386e+00 4.374293003575512734e-03
   120.000 1.126867552385094930e-02 1.397644951952823180e-03 2.095480993561208205e+00 1.244784463872481289e-01
   180.000 9.773024789483347741e-02 1.396767259051283827e-03 2.558451215403644063e+00 1.435801906577366220e-02
   240.000 4.078168751443945333e-03 1.408775568450469119e-03 1.296531742038747881e+00 3.411310009285645761e-01
   300.000 3.316033555320252457e-02 1.410237251499584345e-03 -2.112339782422010703e+00 4.189826887522922483e-02
   360.000 5.982693242943910514e-03 1.400194812722710533e-03 7.868156301765544258e-01 2.339211975093323237e-01
   420.000 1.474544115100166752e-02 1.409569761558711115e-03 1.652584493502246898e+00 9.424247646797524747e-02
   480.000 6.314626305381018483e-03 1.409212808256075315e-03 1.692110103025668222e+00 2.201690276683646308e-01
   540.000 1.193027496820664966e-02 1.388709242467520578e-03 -2.364812118394203078e-01 1.182630188492817952e-01
   600.000 2.292981118209206238e-03 1.411311809277450121e-03 -1.421997990985641724e+00 6.055946668855711756e-01
