# B0 B0_err (mG)
2.632831228382490618e-01 3.138026898216688017e-03
# f_Hz A A_err phi phi_err
    60.000 3.230788078254934192e-01 4.502821965067737263e-03 -2.302637485643063808e+00 1.353263348189110392e-02
   120.000 1.657986729121712190e-03 4.425258878047252584e-03 -2.773239463872530841e+00 2.684451362676810948e+00
   180.000 8.132144568912313964e-02 4.413018609214267897e-03 2.480714174400997507e+00 5.487056746067425772e-02
   240.000 9.634834765142553589e-03 4.418877469317752070e-03 2.282376905209473783e+00 4.623002204628146594e-01
   300.000 1.688161340452926096e-02 4.435024764009170249e-03 -2.542124401155190228e+00 2.627319431255089599e-01
   360.000 9.354899380152924618e-03 4.402128442139409230e-03 2.793841524302247858e+00 4.774053179429034732e-01
   420.000 7.972986067543310837e-03 4.429807803720196314e-03 3.261339703158197878e+00 5.565833294808860687e-01
   480.000 8.319921250144421757e-03 4.421298862953275399e-03 2.178205150078842856e+00 5.340718934391517347e-01
   540.000 1.628355008607119958e-02 4.435974263305689398e-03 2.844798178013585033e-01 2.714727584160786522e-01
   600.000 2.781128656666596432e-03 4.410680829703645355e-03 -8.556083911638574513e-01 1.593061810287522917e+00
