# B0 B0_err (mG)
3.128746540636882512e-01 3.882453595281298766e-03
# f_Hz A A_err phi phi_err
    60.000 3.263150313749835219e-01 5.323318304875600086e-03 -2.291571939242323275e+00 1.733025876114806588e-02
   120.000 6.608411272397625089e-03 5.628624650622609214e-03 2.332683484834192189e+00 8.093295288157051903e-01
   180.000 1.034795173472604912e-01 5.402784650616153719e-03 2.567331108328767986e+00 5.382571399019598496e-02
   240.000 5.834822178426588533e-03 5.500739888193805979e-03 3.586677034187308877e-01 9.379113557702908333e-01
   300.000 2.677949009751862813e-02 5.539628386005771184e-03 -2.253515198240772843e+00 2.022796407532471419e-01
   360.000 1.092451965274426895e-02 5.485147721515116863e-03 -5.433947470377902683e-02 5.002817212292314242e-01
   420.000 2.008253846512924809e-02 5.450129705424614293e-03 -3.111416820887221046e+00 2.730677712461449524e-01
   480.000 9.793988513254796302e-03 5.479279931467646164e-03 1.048507553134417458e+00 5.546566204390995791e-01
   540.000 9.914339151102936898e-03 5.454750501948236845e-03 -6.305275969485091281e-01 5.494588293990890771e-01
   600.000 9.703697114919853858e-03 5.455924438058705646e-03 -1.053029757092946994e+00 5.576771584441664320e-01
