# B0 B0_err (mG)
3.271419365412866487e-01 1.482543760519128588e-03
# f_Hz A A_err phi phi_err
    60.000 3.218142771648469513e-01 2.135762759875640092e-03 -2.297737140343286022e+00 6.383060648595928997e-03
   120.000 2.698721038912444553e-02 2.068324052396988081e-03 6.952074515502992824e-01 7.862925065837199357e-02
   180.000 1.026785464032540507e-01 2.057960529360780208e-03 2.603018005409457825e+00 2.079701422238734027e-02
   240.000 1.090332121339344061e-02 2.075031014929022612e-03 2.434155385368602431e+00 1.943270158711138396e-01
   300.000 2.291578171113605941e-02 2.130903071378929640e-03 -2.076275648700598886e+00 8.990188245992966620e-02
   360.000 8.055245041834658073e-03 2.070280751316029219e-03 -9.217747702471823512e-01 2.634021216677200905e-01
   420.000 2.045952086536229758e-02 2.096217417673794468e-03 2.978424436249521357e+00 1.023994593312853446e-01
   480.000 1.341699852134678114e-02 2.108832456348354659e-03 8.715864590671561496e-01 1.550470612328540831e-01
   540.000 1.161312481500546140e-02 2.073238286152763628e-03 7.755341069357993833e-01 1.812668409651571055e-01
   600.000 7.022591087345034754e-03 2.053402392584639455e-03 -2.222134908250513963e+00 2.983425374966166554e-01
