# time_us phase_over_pi phase_error
1.00000000e-01 9.29156549e-03 3.59021798e-02
2.00100000e+02 3.16099332e-02 3.41807480e-02
4.00100000e+02 3.04090302e-02 3.56919032e-02
6.00100000e+02 8.13457596e-02 3.11842442e-02
8.00100000e+02 8.83662515e-02 3.12792005e-02
1.00010000e+03 1.12045946e-01 3.03322991e-02
1.20010000e+03 1.75655562e-01 3.39522596e-02
1.40010000e+03 1.81940740e-01 3.45188411e-02
1.60010000e+03 2.72022858e-01 2.95286928e-02
1.80010000e+03 2.82714417e-01 3.01147036e-02
2.00010000e+03 3.07819760e-01 3.22308694e-02
2.20010000e+03 3.76817760e-01 3.24448472e-02
2.40010000e+03 4.24680057e-01 3.34656483e-02
2.60010000e+03 4.57811714e-01 3.05574361e-02
2.80010000e+03 4.84748190e-01 3.29354393e-02
3.00010000e+03 5.51501667e-01 3.17345388e-02
