# time_us phase_over_pi phase_error
0.00000000e+00 1.93070141e+00 3.49010685e-02
1.68400000e+03 1.09387031e-01 3.86017847e-02
3.36900000e+03 2.57050745e-01 3.86414345e-02
5.05300000e+03 4.42128367e-01 4.18287182e-02
6.73700000e+03 6.53699576e-01 3.83259155e-02
8.42100000e+03 9.15915420e-01 4.18886415e-02
1.01050000e+04 1.07657638e+00 3.60976631e-02
1.17900000e+04 1.19933448e+00 3.52239358e-02
1.34740000e+04 1.26899252e+00 3.49366384e-02
1.51580000e+04 1.33478650e+00 3.24631288e-02
1.68420000e+04 1.34082022e+00 3.27535292e-02
1.85260000e+04 1.37568628e+00 3.43318774e-02
2.02110000e+04 1.55572141e+00 3.85918565e-02
2.18950000e+04 1.70121256e+00 4.13604608e-02
2.35790000e+04 8.03569813e-02 3.52645744e-02
2.52630000e+04 2.59572808e-01 3.06762951e-02
2.69470000e+04 3.55728077e-01 4.21122443e-02
2.86320000e+04 3.99208021e-01 4.26227729e-02
3.03160000e+04 2.76576176e-01 4.34421896e-02
3.20000000e+04 4.44558974e-01 3.93277011e-02
