# B0 B0_err (mG)
3.238225394112873579e-01 4.641996658288126930e-03
# f_Hz A A_err phi phi_err
    60.000 3.124827768470549438e-01 6.654484489100163588e-03 -2.375485642040253698e+00 2.073169899705487942e-02
   120.000 1.139623691958563910e-02 6.568037633487870328e-03 7.428836521137123228e-01 5.751875242362621821e-01
   180.000 9.462989101048596696e-02 6.563659708260703891e-03 2.445673956862763898e+00 6.926446832307595058e-02
   240.000 7.794144979032205378e-03 6.634425788703803006e-03 -1.683760978220055327e+00 8.298029956433854437e-01
   300.000 2.820715217329287580e-02 6.594811295071076850e-03 -2.026826330795028053e+00 2.306829108602736211e-01
   360.000 8.641296430161080067e-03 6.526306108749624704e-03 1.673985044611894013e+00 7.577804753668265780e-01
   420.000 3.057906207768321810e-02 6.514630376224103507e-03 2.534855573476880508e+00 2.146006206291435070e-01
   480.000 8.767262749654052001e-03 6.533961461246604735e-03 -1.522236771988914494e+00 7.448015096933375823e-01
   540.000 1.531632967721915928e-02 6.523290868061418050e-03 6.571451125985977582e-01 4.265719603238671831e-01
   600.000 4.719467546723414564e-03 6.496538429346169347e-03 2.355962875256092826e+00 1.377945517784894713e+00
