# B0 B0_err (mG)
3.075208204693550829e-01 1.014652492160021072e-03
# f_Hz A A_err phi phi_err
    60.000 3.001896403263986102e-01 1.451901276191785604e-03 -2.328712703831502751e+00 4.721869062245868248e-03
   120.000 6.621515370729938628e-03 1.465455487564695921e-03 3.635310930070212998e-01 2.119915094277326495e-01
   180.000 9.945952580633500573e-02 1.406388989592968503e-03 2.660143078230468472e+00 1.469096997140089365e-02
   240.000 2.985345632164564545e-03 1.409614085839256716e-03 2.873499811417151939e+00 4.880582466558404664e-01
   300.000 4.257290468482152063e-02 1.434561593723789746e-03 -2.246860795707406044e+00 3.361418404563119855e-02
   360.000 3.816052363242123779e-03 1.419733263890192096e-03 2.924839162082226718e+00 3.786338540214967963e-01
   420.000 1.561957205936540145e-02 1.430831875920030331e-03 2.058222950384270611e+00 9.169896691605614047e-02
   480.000 4.317117249031638716e-03 1.430183505063272907e-03 3.564380150232429934e+00 3.313639650091036448e-01
   540.000 1.552669428989205021e-02 1.420875001962568825e-03 -7.774287100221454194e-01 9.271234312144273348e-02
   600.000 4.796488805014013576e-03 1.396216055175689792e-03 -1.216490108264141057e+00 2.918098163147760937e-01
