# time_us phase_over_pi phase_error
1.00000000e-01 1.98000000e+00 3.70730627e-02
5.00100000e+02 4.07064617e-02 3.55647820e-02
1.00010000e+03 1.56071752e-01 3.05273263e-02
1.50010000e+03 1.82800255e-01 3.13102358e-02
2.00010000e+03 3.05637503e-01 3.32347871e-02
2.50010000e+03 5.09640339e-01 2.96897525e-02
3.00010000e+03 5.43770742e-01 3.33539138e-02
3.50010000e+03 7.39504326e-01 3.43649582e-02
4.00010000e+03 9.49316901e-01 3.36721892e-02
4.50000000e+03 1.18361909e+00 3.36797423e-02
5.00000000e+03 1.44722832e+00 3.11569621e-02
5.50000000e+03 1.60784232e+00 3.37482609e-02
6.00000000e+03 1.74809548e+00 3.12084800e-02
6.50000000e+03 1.83849200e+00 3.43114095e-02
7.00000000e+03 7.95069263e-02 2.93098204e-02
7.50000000e+03 1.89208003e-01 3.36331807e-02
8.00000000e+03 4.21683158e-01 3.26983717e-02
8.50000000e+03 7.97261740e-01 3.15121663e-02
9.00000000e+03 9.26852655e-01 3.28468318e-02
9.50000000e+03 9.55088859e-01 3.59863744e-02
1.00000000e+04 7.94557721e-01 3.16095784e-02
1.05000000e+04 1.06823300e+00 3.37574641e-02
